,subject,predicate,object
0,15692761,hasCreditScoreOf,718
1,15692761,hasGender,Male
2,15692761,isAge,36
3,15692761,inCountry,France
4,15692761,hasBalance,0.0
5,15692761,hasNumberOfProducts,1
6,15692761,hasCreditCard,True
7,15692761,IsActiveMember,False
8,15692761,hasChurned,False
9,15692761,TenureOf,9
10,15692761,hasEstimatedSalaryOf,45909.87
11,15700046,hasCreditScoreOf,635
12,15700046,hasGender,Male
13,15700046,isAge,41
14,15700046,inCountry,France
15,15700046,hasBalance,103544.88
16,15700046,hasNumberOfProducts,2
17,15700046,hasCreditCard,True
18,15700046,IsActiveMember,False
19,15700046,hasChurned,False
20,15700046,TenureOf,4
21,15700046,hasEstimatedSalaryOf,193746.55
22,15709324,hasCreditScoreOf,417
23,15709324,hasGender,Male
24,15709324,isAge,34
25,15709324,inCountry,France
26,15709324,hasBalance,0.0
27,15709324,hasNumberOfProducts,2
28,15709324,hasCreditCard,True
29,15709324,IsActiveMember,False
30,15709324,hasChurned,False
31,15709324,TenureOf,7
32,15709324,hasEstimatedSalaryOf,55003.79
33,15745452,hasCreditScoreOf,651
34,15745452,hasGender,Male
35,15745452,isAge,41
36,15745452,inCountry,Germany
37,15745452,hasBalance,90218.11
38,15745452,hasNumberOfProducts,1
39,15745452,hasCreditCard,True
40,15745452,IsActiveMember,False
41,15745452,hasChurned,False
42,15745452,TenureOf,1
43,15745452,hasEstimatedSalaryOf,174337.68
44,15599081,hasCreditScoreOf,507
45,15599081,hasGender,Female
46,15599081,isAge,46
47,15599081,inCountry,Germany
48,15599081,hasBalance,102785.16
49,15599081,hasNumberOfProducts,1
50,15599081,hasCreditCard,True
51,15599081,IsActiveMember,True
52,15599081,hasChurned,False
53,15599081,TenureOf,8
54,15599081,hasEstimatedSalaryOf,70323.68
55,15658670,hasCreditScoreOf,669
56,15658670,hasGender,Female
57,15658670,isAge,38
58,15658670,inCountry,France
59,15658670,hasBalance,0.0
60,15658670,hasNumberOfProducts,2
61,15658670,hasCreditCard,True
62,15658670,IsActiveMember,False
63,15658670,hasChurned,False
64,15658670,TenureOf,8
65,15658670,hasEstimatedSalaryOf,84049.16
66,15791991,hasCreditScoreOf,773
67,15791991,hasGender,Male
68,15791991,isAge,52
69,15791991,inCountry,France
70,15791991,hasBalance,0.0
71,15791991,hasNumberOfProducts,1
72,15791991,hasCreditCard,False
73,15791991,IsActiveMember,True
74,15791991,hasChurned,False
75,15791991,TenureOf,4
76,15791991,hasEstimatedSalaryOf,144113.42
77,15594450,hasCreditScoreOf,695
78,15594450,hasGender,Male
79,15594450,isAge,49
80,15594450,inCountry,France
81,15594450,hasBalance,159458.53
82,15594450,hasNumberOfProducts,1
83,15594450,hasCreditCard,True
84,15594450,IsActiveMember,False
85,15594450,hasChurned,False
86,15594450,TenureOf,9
87,15594450,hasEstimatedSalaryOf,135841.35
88,15596914,hasCreditScoreOf,630
89,15596914,hasGender,Female
90,15596914,isAge,31
91,15596914,inCountry,Germany
92,15596914,hasBalance,112373.49
93,15596914,hasNumberOfProducts,2
94,15596914,hasCreditCard,True
95,15596914,IsActiveMember,True
96,15596914,hasChurned,False
97,15596914,TenureOf,2
98,15596914,hasEstimatedSalaryOf,131167.98
99,15709396,hasCreditScoreOf,801
100,15709396,hasGender,Male
101,15709396,isAge,42
102,15709396,inCountry,France
103,15709396,hasBalance,0.0
104,15709396,hasNumberOfProducts,2
105,15709396,hasCreditCard,True
106,15709396,IsActiveMember,True
107,15709396,hasChurned,False
108,15709396,TenureOf,6
109,15709396,hasEstimatedSalaryOf,95804.33
110,15753837,hasCreditScoreOf,573
111,15753837,hasGender,Male
112,15753837,isAge,38
113,15753837,inCountry,Spain
114,15753837,hasBalance,0.0
115,15753837,hasNumberOfProducts,2
116,15753837,hasCreditCard,True
117,15753837,IsActiveMember,True
118,15753837,hasChurned,False
119,15753837,TenureOf,4
120,15753837,hasEstimatedSalaryOf,196517.43
121,15585041,hasCreditScoreOf,511
122,15585041,hasGender,Male
123,15585041,isAge,33
124,15585041,inCountry,France
125,15585041,hasBalance,0.0
126,15585041,hasNumberOfProducts,2
127,15585041,hasCreditCard,False
128,15585041,IsActiveMember,True
129,15585041,hasChurned,False
130,15585041,TenureOf,7
131,15585041,hasEstimatedSalaryOf,158313.87
132,15692002,hasCreditScoreOf,538
133,15692002,hasGender,Male
134,15692002,isAge,33
135,15692002,inCountry,France
136,15692002,hasBalance,93791.38
137,15692002,hasNumberOfProducts,1
138,15692002,hasCreditCard,True
139,15692002,IsActiveMember,True
140,15692002,hasChurned,False
141,15692002,TenureOf,6
142,15692002,hasEstimatedSalaryOf,199249.29
143,15756475,hasCreditScoreOf,551
144,15756475,hasGender,Male
145,15756475,isAge,31
146,15756475,inCountry,Germany
147,15756475,hasBalance,82293.82
148,15756475,hasNumberOfProducts,2
149,15756475,hasCreditCard,True
150,15756475,IsActiveMember,True
151,15756475,hasChurned,False
152,15756475,TenureOf,9
153,15756475,hasEstimatedSalaryOf,91565.25
154,15675252,hasCreditScoreOf,734
155,15675252,hasGender,Female
156,15675252,isAge,39
157,15675252,inCountry,Spain
158,15675252,hasBalance,92636.96
159,15675252,hasNumberOfProducts,2
160,15675252,hasCreditCard,True
161,15675252,IsActiveMember,True
162,15675252,hasChurned,False
163,15675252,TenureOf,3
164,15675252,hasEstimatedSalaryOf,125671.29
165,15800845,hasCreditScoreOf,732
166,15800845,hasGender,Female
167,15800845,isAge,33
168,15800845,inCountry,Spain
169,15800845,hasBalance,111379.55
170,15800845,hasNumberOfProducts,1
171,15800845,hasCreditCard,True
172,15800845,IsActiveMember,True
173,15800845,hasChurned,False
174,15800845,TenureOf,8
175,15800845,hasEstimatedSalaryOf,45098.62
176,15579166,hasCreditScoreOf,619
177,15579166,hasGender,Female
178,15579166,isAge,30
179,15579166,inCountry,France
180,15579166,hasBalance,70729.17
181,15579166,hasNumberOfProducts,1
182,15579166,hasCreditCard,True
183,15579166,IsActiveMember,True
184,15579166,hasChurned,False
185,15579166,TenureOf,7
186,15579166,hasEstimatedSalaryOf,160948.87
187,15778320,hasCreditScoreOf,848
188,15778320,hasGender,Female
189,15778320,isAge,40
190,15778320,inCountry,Germany
191,15778320,hasBalance,148495.64
192,15778320,hasNumberOfProducts,1
193,15778320,hasCreditCard,False
194,15778320,IsActiveMember,False
195,15778320,hasChurned,False
196,15778320,TenureOf,5
197,15778320,hasEstimatedSalaryOf,158853.98
198,15576723,hasCreditScoreOf,740
199,15576723,hasGender,Female
200,15576723,isAge,37
201,15576723,inCountry,France
202,15576723,hasBalance,0.0
203,15576723,hasNumberOfProducts,2
204,15576723,hasCreditCard,True
205,15576723,IsActiveMember,True
206,15576723,hasChurned,False
207,15576723,TenureOf,7
208,15576723,hasEstimatedSalaryOf,194270.91
209,15566295,hasCreditScoreOf,761
210,15566295,hasGender,Female
211,15566295,isAge,33
212,15566295,inCountry,France
213,15566295,hasBalance,138053.79
214,15566295,hasNumberOfProducts,2
215,15566295,hasCreditCard,True
216,15566295,IsActiveMember,False
217,15566295,hasChurned,False
218,15566295,TenureOf,6
219,15566295,hasEstimatedSalaryOf,148779.41
220,15633950,hasCreditScoreOf,737
221,15633950,hasGender,Male
222,15633950,isAge,41
223,15633950,inCountry,France
224,15633950,hasBalance,101960.74
225,15633950,hasNumberOfProducts,1
226,15633950,hasCreditCard,True
227,15633950,IsActiveMember,True
228,15633950,hasChurned,False
229,15633950,TenureOf,1
230,15633950,hasEstimatedSalaryOf,123547.28
231,15812197,hasCreditScoreOf,850
232,15812197,hasGender,Male
233,15812197,isAge,38
234,15812197,inCountry,France
235,15812197,hasBalance,80293.98
236,15812197,hasNumberOfProducts,1
237,15812197,hasCreditCard,False
238,15812197,IsActiveMember,False
239,15812197,hasChurned,False
240,15812197,TenureOf,7
241,15812197,hasEstimatedSalaryOf,126555.74
242,15754929,hasCreditScoreOf,757
243,15754929,hasGender,Male
244,15754929,isAge,31
245,15754929,inCountry,France
246,15754929,hasBalance,39539.39
247,15754929,hasNumberOfProducts,2
248,15754929,hasCreditCard,False
249,15754929,IsActiveMember,False
250,15754929,hasChurned,False
