,subject,predicate,object
0,8668-KNZTI,hasZipCode,95834
1,8668-KNZTI,hasChurned,False
2,8668-KNZTI,totalCharges,2790.65
3,8668-KNZTI,hasMonthlyCharges,53.75
4,8668-KNZTI,usesPaymentMethod,Electronic check
5,8668-KNZTI,hasPaperlessBilling,False
6,8668-KNZTI,hasContractType,One year
7,8668-KNZTI,hasStreamingMovies,False
8,8668-KNZTI,hasStreamingTV,False
9,8668-KNZTI,hasTechSupport,False
10,8668-KNZTI,hasDeviceProtection,True
11,8668-KNZTI,hasOnlineBackup,False
12,8668-KNZTI,hasOnlineSecurity,True
13,8668-KNZTI,hasInternetService,DSL
14,8668-KNZTI,hasMultipleLines,False
15,8668-KNZTI,hasPhoneService,True
16,8668-KNZTI,hasTenure,52
17,8668-KNZTI,hasDependents,False
18,8668-KNZTI,hasPartner,False
19,8668-KNZTI,SeniorCitizen,False
20,8668-KNZTI,hasLongitude,-121.52446
21,8668-KNZTI,hasLatitude,38.646209
22,8668-KNZTI,hasGender,Male
23,1099-BTKWT,hasZipCode,92692
24,1099-BTKWT,hasChurned,False
25,1099-BTKWT,totalCharges,3723.65
26,1099-BTKWT,hasMonthlyCharges,54.4
27,1099-BTKWT,usesPaymentMethod,Electronic check
28,1099-BTKWT,hasPaperlessBilling,True
29,1099-BTKWT,hasContractType,One year
30,1099-BTKWT,hasStreamingMovies,True
31,1099-BTKWT,hasStreamingTV,True
32,1099-BTKWT,hasTechSupport,False
33,1099-BTKWT,hasDeviceProtection,True
34,1099-BTKWT,hasOnlineBackup,False
35,1099-BTKWT,hasOnlineSecurity,True
36,1099-BTKWT,hasInternetService,DSL
37,1099-BTKWT,hasMultipleLines,No phone service
38,1099-BTKWT,hasPhoneService,False
39,1099-BTKWT,hasTenure,68
40,1099-BTKWT,hasDependents,False
41,1099-BTKWT,hasPartner,True
42,1099-BTKWT,SeniorCitizen,False
43,1099-BTKWT,hasLongitude,-117.644253
44,1099-BTKWT,hasLatitude,33.60693
45,1099-BTKWT,hasGender,Female
46,1536-YHDOE,hasZipCode,96084
47,1536-YHDOE,hasChurned,False
48,1536-YHDOE,totalCharges,1096.65
49,1536-YHDOE,hasMonthlyCharges,62.1
50,1536-YHDOE,usesPaymentMethod,Mailed check
51,1536-YHDOE,hasPaperlessBilling,True
52,1536-YHDOE,hasContractType,One year
53,1536-YHDOE,hasStreamingMovies,False
54,1536-YHDOE,hasStreamingTV,False
55,1536-YHDOE,hasTechSupport,True
56,1536-YHDOE,hasDeviceProtection,False
57,1536-YHDOE,hasOnlineBackup,False
58,1536-YHDOE,hasOnlineSecurity,True
59,1536-YHDOE,hasInternetService,DSL
60,1536-YHDOE,hasMultipleLines,True
61,1536-YHDOE,hasPhoneService,True
62,1536-YHDOE,hasTenure,17
63,1536-YHDOE,hasDependents,True
64,1536-YHDOE,hasPartner,True
65,1536-YHDOE,SeniorCitizen,False
66,1536-YHDOE,hasLongitude,-122.059933
67,1536-YHDOE,hasLatitude,40.923558
68,1536-YHDOE,hasGender,Male
69,7048-GXDAY,hasZipCode,93705
70,7048-GXDAY,hasChurned,False
71,7048-GXDAY,totalCharges,4040.65
72,7048-GXDAY,hasMonthlyCharges,106.4
73,7048-GXDAY,usesPaymentMethod,Electronic check
74,7048-GXDAY,hasPaperlessBilling,True
75,7048-GXDAY,hasContractType,Month-to-month
76,7048-GXDAY,hasStreamingMovies,True
77,7048-GXDAY,hasStreamingTV,True
78,7048-GXDAY,hasTechSupport,False
79,7048-GXDAY,hasDeviceProtection,False
80,7048-GXDAY,hasOnlineBackup,True
81,7048-GXDAY,hasOnlineSecurity,True
82,7048-GXDAY,hasInternetService,Fiber optic
83,7048-GXDAY,hasMultipleLines,True
84,7048-GXDAY,hasPhoneService,True
85,7048-GXDAY,hasTenure,39
86,7048-GXDAY,hasDependents,False
87,7048-GXDAY,hasPartner,False
88,7048-GXDAY,SeniorCitizen,False
89,7048-GXDAY,hasLongitude,-119.827813
90,7048-GXDAY,hasLatitude,36.78724
91,7048-GXDAY,hasGender,Male
92,9575-IWCAZ,hasZipCode,91354
