,CustomerID,City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value
0,8668-KNZTI,Sacramento,95834,38.646209,-121.52446,Male,False,False,False,52,True,False,DSL,True,False,True,False,False,False,One year,False,Electronic check,53.75,2790.65,False
1,1099-BTKWT,Mission Viejo,92692,33.60693,-117.644253,Female,False,True,False,68,False,No phone service,DSL,True,False,True,False,True,True,One year,True,Electronic check,54.4,3723.65,False
2,1536-YHDOE,Round Mountain,96084,40.923558,-122.059933,Male,False,True,True,17,True,True,DSL,True,False,False,True,False,False,One year,True,Mailed check,62.1,1096.65,False
3,7048-GXDAY,Fresno,93705,36.78724,-119.827813,Male,False,False,False,39,True,True,Fiber optic,True,True,False,False,True,True,Month-to-month,True,Electronic check,106.4,4040.65,False
4,9575-IWCAZ,Valencia,91354,34.457005,-118.573726,Male,False,True,False,6,True,True,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,25.1,171,False
5,1027-LKKQQ,Plymouth,95669,38.489273,-120.891614,Female,False,True,True,72,True,False,DSL,True,False,True,True,True,True,Two year,True,Bank transfer (automatic),80.45,5886.85,False
6,5442-BHQNG,Brooks,95606,38.809804,-122.241383,Female,False,False,False,2,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,False,Electronic check,70.35,139.25,False
7,1552-CZCLL,Descanso,91916,32.912664,-116.635387,Female,False,True,True,55,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Credit card (automatic),20.0,1087.25,False
8,3768-VHXQO,Redondo Beach,90278,33.873395,-118.37019,Male,False,True,False,67,True,True,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),24.85,1583.5,False
9,6416-JNVRK,Gardena,90248,33.876482,-118.284077,Female,False,False,False,46,True,False,DSL,False,False,False,False,False,True,One year,False,Credit card (automatic),55.65,2688.85,False
10,4749-OJKQU,San Jose,95132,37.424655,-121.74841,Female,False,False,False,4,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,75.65,302.35,False
11,7036-ZZKBD,Lincoln,95648,38.922812,-121.312005,Male,False,True,False,31,True,False,DSL,False,False,True,True,False,True,Month-to-month,True,Credit card (automatic),66.4,2019.8,False
12,9314-QDMDW,Los Alamos,93440,34.758699,-120.275839,Male,False,False,False,11,True,False,DSL,False,True,False,False,True,False,One year,True,Electronic check,61.25,729.95,False
13,7089-XXAYG,Rocklin,95677,38.7904,-121.236973,Male,False,True,False,25,False,No phone service,DSL,False,False,True,False,True,False,One year,True,Credit card (automatic),38.1,970.4,False
14,1100-DDVRV,Twain Harte,95383,38.107441,-120.230625,Male,False,True,False,17,False,No phone service,DSL,False,True,False,False,True,True,Month-to-month,True,Mailed check,49.8,836.35,False
15,4020-KIUDI,Los Angeles,90044,33.952714,-118.292061,Male,False,True,True,6,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Credit card (automatic),19.85,138.85,False
16,8434-VGEQQ,Guadalupe,93434,34.936,-120.594655,Male,False,True,False,61,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.55,1305.95,False
17,8033-VCZGH,Tracy,95376,37.680968,-121.446049,Male,False,True,False,50,True,True,Fiber optic,True,False,True,False,True,True,One year,True,Electronic check,103.95,5231.3,False
18,2065-MMKGR,Diamond Springs,95619,38.683605,-120.811852,Female,False,False,False,29,True,True,DSL,False,False,False,False,True,True,One year,True,Credit card (automatic),71.0,2080.1,False
19,5947-SGKCL,San Marino,91108,34.122671,-118.112911,Female,False,True,True,15,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),105.35,1559.25,False
20,6671-NGWON,Dillon Beach,94929,38.24458,-122.956268,Female,False,False,False,7,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.35,150.6,False
21,9848-JQJTX,Venice,90291,33.991782,-118.479229,Male,False,False,False,72,True,True,Fiber optic,False,True,True,False,True,True,Two year,True,Bank transfer (automatic),100.9,7459.05,False
22,9932-WBWIK,Lake Isabella,93240,35.607875,-118.466318,Male,False,False,False,11,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.35,215.25,False
23,2209-XADXF,Willow Creek,95573,40.949012,-123.655847,Female,False,False,False,1,False,No phone service,DSL,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),25.25,25.25,False
24,6096-EGVTU,San Jose,95120,37.186141,-121.843554,Female,False,True,True,64,True,True,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,24.9,1595.5,False
25,2791-SFVEW,Los Angeles,90013,34.044639,-118.240413,Female,False,False,False,9,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),20.15,238.15,False
26,8857-CUPFQ,Wallace,95254,38.192608,-120.957842,Male,False,True,False,63,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.25,1237.65,False
27,0793-TWELN,Los Angeles,90026,34.078991,-118.263804,Female,False,False,False,4,True,True,Fiber optic,True,False,False,False,False,False,Month-to-month,True,Electronic check,80.15,319.85,False
28,3761-FLYZI,Los Angeles,90011,34.00709,-118.258681,Female,True,True,False,65,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),108.8,7082.45,False
29,9584-EXCDZ,San Francisco,94103,37.773147,-122.411287,Female,False,False,False,17,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),70.5,1165.6,False
30,5968-VXZLG,Calabasas,91302,34.130861,-118.68346,Male,False,False,False,2,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),46.6,87.9,False
31,5666-MBJPT,Bakersfield,93304,35.339796,-119.023552,Male,False,False,False,65,True,True,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),25.1,1725,False
32,4868-AADLV,Durham,95938,39.607831,-121.777959,Male,True,True,True,66,True,True,Fiber optic,True,True,True,True,True,True,One year,True,Electronic check,116.25,7862.25,False
33,0993-OSGPT,Junction City,96048,40.913192,-123.06597,Female,True,True,False,68,True,False,DSL,False,True,True,True,False,False,One year,True,Bank transfer (automatic),60.65,3975.9,False
34,6508-NJYRO,Carlsbad,92009,33.098018,-117.258203,Male,False,True,False,15,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,18.8,294.95,False
35,2676-ISHSF,Anderson,96007,40.448632,-122.306657,Male,False,False,False,1,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.3,20.3,False
36,9800-OUIGR,Oakland,94607,37.80707,-122.297401,Male,False,True,True,66,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.0,1374.2,False
37,4742-TXUEX,Rialto,92376,34.109775,-117.378904,Female,False,True,True,47,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),19.3,890.5,False
38,4012-ZTHBR,Kneeland,95549,40.664483,-123.865325,Female,False,True,True,21,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,44.95,926.25,False
39,2207-QPJED,Somes Bar,95568,41.444606,-123.471895,Female,True,True,False,37,True,False,Fiber optic,False,False,True,True,True,False,Month-to-month,False,Electronic check,90.0,3371.75,False
40,3230-IUALN,Eureka,95501,40.796621,-124.15428,Female,False,True,False,45,True,False,DSL,True,False,True,True,True,True,Two year,True,Mailed check,81.0,3533.6,False
41,1110-KYLGQ,Campbell,95008,37.279689,-121.954567,Female,False,False,False,63,True,True,Fiber optic,True,True,True,False,True,True,Month-to-month,False,Credit card (automatic),108.25,6780.1,False
42,6848-HJTXY,Ontario,91761,34.035602,-117.591528,Female,False,True,False,64,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.45,1208.6,False
43,0422-OHQHQ,Fresno,93722,36.78979,-119.929894,Female,False,True,False,15,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.55,295.95,False
44,3969-GYXEL,Berkeley,94708,37.897743,-122.263124,Female,False,False,False,11,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Electronic check,76.4,838.7,False
45,2077-DDHJK,Goleta,93117,34.489983,-120.091246,Female,False,True,False,68,True,True,DSL,True,True,True,True,False,False,Two year,False,Credit card (automatic),70.9,4911.35,False
46,5153-LXKDT,Danville,94506,37.791481,-121.903253,Male,False,True,True,68,True,True,Fiber optic,True,True,True,False,True,True,Two year,True,Electronic check,110.2,7467.5,False
47,9518-IMLHK,Sacramento,95820,38.53508,-121.444144,Male,False,False,False,31,True,False,DSL,True,True,True,True,True,False,Month-to-month,True,Bank transfer (automatic),72.45,2156.25,False
48,6266-QHOJZ,Lomita,90717,33.794209,-118.317354,Female,False,False,False,65,True,True,Fiber optic,True,True,False,True,False,False,One year,True,Electronic check,89.85,5844.65,False
49,6837-HAEVO,Moreno Valley,92551,33.88274,-117.224878,Male,False,True,True,69,True,True,Fiber optic,False,True,True,False,True,True,Two year,True,Electronic check,105.0,7297.75,False
50,2333-KWEWW,Fresno,93721,36.732694,-119.783786,Male,False,False,False,18,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.05,388.6,False
51,0943-ZQPXH,Vacaville,95688,38.419088,-122.024568,Male,False,True,True,44,True,False,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Bank transfer (automatic),92.95,4122.9,False
52,5795-BKOYE,Sacramento,95837,38.691607,-121.602284,Female,False,True,True,69,True,False,DSL,False,True,True,True,False,False,One year,False,Bank transfer (automatic),59.1,4134.7,False
53,6625-IUTTT,Fremont,94536,37.572273,-121.964583,Male,False,False,False,67,True,False,DSL,True,False,True,False,False,True,Two year,False,Bank transfer (automatic),65.55,4361.55,False
54,6416-YJTTB,Downieville,95936,39.578792,-120.780786,Male,False,False,False,11,True,False,Fiber optic,True,False,True,False,False,False,Month-to-month,True,Bank transfer (automatic),79.5,795.65,False
55,5627-TVBPP,Big Bear Lake,92315,34.242058,-116.89802,Female,False,False,True,35,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Credit card (automatic),20.1,644.5,False
56,6549-YMFAW,Los Olivos,93441,34.70434,-120.02609,Male,True,True,False,9,True,False,False,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,21.25,204.55,False
57,1088-CNNKB,Campbell,95008,37.279689,-121.954567,Male,False,True,False,63,True,True,DSL,True,True,True,True,False,True,One year,False,Credit card (automatic),80.0,5040.2,False
